#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
air_tight_construction	vAyuroXI_nirmANa#vAyuroXI_nirmANa#noun#3#RM
air_vacuum_valve	vAyu_nirvAwa_vAlva#vAyu_nirvAwa_vAlva#noun#3#RM
air_vent	vAyu-nirgama#vAyu-nirgama#noun#2#RM
airfoil_moment	vAyupawraka_AGUrNa#vAyupawraka_AGUrNa#noun#2#RM
alkaline_soil	kRArIya_mqxA#kRArIya_mqxA#noun#2#RM
all_aluminium_alloy_conductor	sarva_Eluminiyama_eloYya_cAlaka#sarva_Eluminiyama_eloYya_cAlaka#noun#4#RM
all_aluminum_conductor	sarva_Eluminiyama_cAlaka#sarva_Eluminiyama_cAlaka#noun#3#RM
allowable_soil_pressure	anujFeya_mqxA_xAba/anumawa_mqxA_xAba#anujFeya_mqxA_xAba/anumawa_mqxA_xAba#noun#3#RM
allowable_stress	anujFeya_prawibala/anumawa_prawibala#anujFeya_prawibala/anumawa_prawibala#noun#2#RM
alloy_cast_iron	eloYya_DalavAM_lohA#eloYya_DalavAM_lohA#noun#3#RM
alloy_steel	eloYya_ispAwa#eloYya_ispAwa#noun#2#RM
alluvial_channel	jaloDa_vAhikA#jaloDa_vAhikA#noun#2#RM
alluvial_clay	jaloDa_mittI/jaloDa_mqwwikA#jaloDa_mittI/jaloDa_mqwwikA#noun#2#RM
alluvial_plain	jaloDa_mExAna#jaloDa_mExAna#noun#2#RM
alluvial_soil	jaloDa_mittI#jaloDa_mittI#noun#2#RM
alternating_current	prawyAvarwI_XArA#prawyAvarwI_XArA#noun#2#RM
alternating_current_(_a.c._)	prawyAvarwI_XArA/oYltaranetiMga_karaNta_(e.sI.)#prawyAvarwI_XArA/oYltaranetiMga_karaNta_(e.sI.)#noun#4#RM
alternating_force	prawyAvarwI_bala#prawyAvarwI_bala#noun#2#RM
alternating_stress	prawyAvarwI_prawibala#prawyAvarwI_prawibala#noun#2#RM
alternator_,_vertical-shaft	UrXvAXara_SoYPta_oYltaranetara#UrXvAXara_SoYPta_oYltaranetara#noun#3#RM
aluminium_cable	Eluminiyama_kebila#Eluminiyama_kebila#noun#2#RM
aluminium_conductor	Eluminiyama_cAlaka#Eluminiyama_cAlaka#noun#2#RM
aluminium_conductor_,_alloy_reinforced	eloYya_prabaliwa_Eluminiyama_cAlaka#eloYya_prabaliwa_Eluminiyama_cAlaka#noun#5#RM
aluminium_conductor_,_steel_reinforced_(_a.c.s.r._)	ispAwa_prabaliwa_Eluminiyama_cAlaka_(e.sI.esa.Ara.)#ispAwa_prabaliwa_Eluminiyama_cAlaka_(e.sI.esa.Ara.)#noun#7#RM
aluminium_structure	Eluminiyama_saMracanA#Eluminiyama_saMracanA#noun#2#RM
aluminium_wound_transformer	Eluminiyama_kuNdaliwa_trAMsaPArmara#Eluminiyama_kuNdaliwa_trAMsaPArmara#noun#3#RM
ambiguity_tolerance	sanxigXawA_sahana_sImA#sanxigXawA_sahana_sImA#noun#2#RM
ammeter_shunt	EmItara_SaNta#EmItara_SaNta#noun#2#RM
ampere_hour_efficiency	EMpiyara-GaNtA_xakRawA#EMpiyara-GaNtA_xakRawA#noun#3#RM
amplifier_,_magnetic	cumbakIya_pravarXaka/cumbakIya_EMplIPAyara#cumbakIya_pravarXaka/cumbakIya_EMplIPAyara#noun#3#RM
amplifier_,_monitor	moYnitara_pravarXaka#moYnitara_pravarXaka#noun#3#RM
amplifier_,_triode	trAyoda_pravarXaka/EMplIPAyara#trAyoda_pravarXaka/EMplIPAyara#noun#3#RM
amplifier_bandwidth	EMplIPAyara_bEMda_cOdAI/pravarXaka_bEMda_cOdAI#EMplIPAyara_bEMda_cOdAI/pravarXaka_bEMda_cOdAI#noun#2#RM
amplitude_distortion	AyAma_virUpaNa#AyAma_virUpaNa#noun#2#RM
amplitude_modulation	AyAma_moYdulana#AyAma_moYdulana#noun#2#RM
analysis_,_sieve	cAlanI-viSleRaNa#cAlanI-viSleRaNa#noun#3#RM
analysis_,_soil	mqxA-viSleRaNa#mqxA-viSleRaNa#noun#3#RM
analysis_,_thermal_conductivity	wApIya_cAlakawA_viSleRaNa#wApIya_cAlakawA_viSleRaNa#noun#4#RM
analysis_and_findings	viSleRaNa_Ora_niRkarRa#viSleRaNa_Ora_niRkarRa#noun#3#RM
anchor_block	eMkara_bloYka#eMkara_bloYka#noun#2#RM
anchor_bolt	sWiraka_kAbalA/eMkara_bolta#sWiraka_kAbalA/eMkara_bolta#noun#2#RM
anchor_pile	eMkara_pAila#eMkara_pAila#noun#2#RM
anchor_pole	eMkara_KamBA#eMkara_KamBA#noun#2#RM
anchor_ring	eMkara_valaya#eMkara_valaya#noun#2#RM
anchor_tower	eMkara_toYvara#eMkara_toYvara#noun#2#RM
andersons_bridge	Edarasana_seM_wu#Edarasana_seM_wu#noun#2#RM
angle_,_front_cutting	agra_karwana_koNa#agra_karwana_koNa#noun#4#RM
angle_,_groove	KAFcA_koNa#KAFcA_koNa#noun#3#RM
angle_iron	eMgala_AyaranaM#eMgala_AyaranaM#noun#2#RM
angle_iron_ring	eMgala_Ayarana_valaya#eMgala_Ayarana_valaya#noun#3#RM
angle_of_deflection	vikRepa_koNa#vikRepa_koNa#noun#3#RM
angle_of_friction	GarRaNa_koNa#GarRaNa_koNa#noun#3#RM
angle_strut	eMgala_strata#eMgala_strata#noun#2#RM
angular_deflection	koNIya_vikRepa#koNIya_vikRepa#noun#2#RM
angular_depth	koNIya_gaharAI#koNIya_gaharAI#noun#2#RM
angular_deviation	koNIya_vicalana#koNIya_vicalana#noun#2#RM
